name,phone,address,no_address,days,hours,general_topic,tags,city,state,zip_code,web_site,notes
S. AZ Gender Alliance,5204777096,2030 EAST BROADWAY,0,,,LGBTQ,['LGBTQ'],Tuscon,AZ,85719,http://www.sagatucson.org/,
Our Town Family Center,5203231708,2590 N. Alvernon Way,0,,,Young Adult Resources,"['Legal Services', 'Shelter', 'Domestic Violence']",Tuscon,AZ,85712,https://www.ourfamilyservices.org/,
CoverAZ,8003773536,,1,,,Health Insurance,,,,,http://coveraz.org/,
AHCCCS,8005280142,,1,,,Health Insurance,,,,,http://www.healthearizonaplus.gov,
AHCCCS Freedom to Work,8006548713,,1,,,Health Insurance,,,,,,
AZ Long Term Care (ALTCS),5202058600,1010 N Finance Center Dr STE 201,0,"M,T, W, Th, F",7:30 am - 5:00 pm,Health Insurance,,Tucson,AZ,85710,,
KidsCare ,8003773536,,1,,,Health Insurance,"['Adolescent', 'Young Adult Resources']",,,,http://coveraz.org/kidscare-enrollment/,
Medicare Premium Cost Sharing (QMB/SLMB/QI),8005280142,,1,,,Health Insurance,,,,,,Apply at ALTCS
Pima Council on Aging,5205462011,8467 E Broadway Blvd,0,"M, T, W, Th, F",8:30 am - 5:00 pm,Health Insurance,['Elder'],,,,,
UA Mobile Health Clinic,5206260178,,1,,,Health Insurance,['Health Care Resources'],,,,,
Pima County WIC Program,5207929890,839 W Congress St,0,,,Health Insurance,['Food and Nutrition'],Tucson,AZ,85745,,located inside El Rio Health
Pima County WIC Program,5207247777,3950 S Country Club Rd,0,"T, W, Th, F",8:00 am - 5:00 pm,Health Insurance,['Food and Nutrition'],Tucson,AZ,85714,,
Pima County WIC/Food Plus,15207247777,4500 N Old Romero Rd,0,"T, W, Th, F, Sat",8:00 am - 5:00 pm,Health Insurance,['Food and Nutrition'],Tucson,AZ,85705,,
Pima County WIC,15207247777,1390 W Speedway Blvd,0,,,Health Insurance,['Food and Nutrition'],Tucson,AZ,85745,,
WIC Program at Erickson,15206166213,6750 E Stella Rd,0,"T, Th",8:00 am - 5:00 pm,Health Insurance,['Food and Nutrition'],Tucson,AZ,85730,,
